"PAGNUM","PAGFEC","CLICOD","","","","","","","",""
"6278","20190430","1687","","","","","","","",""
"6279","20190430","1580","","","","","","","",""
"6280","20190430","1730","","","","","","","",""
"6281","20190430","1619","","","","","","","",""
"6282","20190430","1717","","","","","","","",""
"6283","20190430","1615","","","","","","","",""
"6284","20190430","1558","","","","","","","",""
"6285","20190430","1561","","","","","","","",""
"6286","20190430","1621","","","","","","","",""
"6287","20190430","1586","","","","","","","",""
"6288","20190502","1278","","","","","","","",""
"6289","20190502","1443","","","","","","","",""
"6290","20190502","1757","","","","","","","",""
"6291","20190502","1443","","","","","","","",""
"6292","20190502","1238","","","","","","","",""
"6293","20190502","1238","","","","","","","",""
"6294","20190502","1610","","","","","","","",""
"6295","20190503","1471","","","","","","","",""
"6296","20190503","1641","","","","","","","",""
"6297","20190503","185","","","","","","","",""
"6298","20190503","1721","","","","","","","",""
"6299","20190503","1754","","","","","","","",""
"6300","20190503","1772","","","","","","","",""
"6301","20190506","1759","","","","","","","",""
"6302","20190506","803","","","","","","","",""
"6303","20190507","1729","","","","","","","",""
"6304","20190507","1758","","","","","","","",""
"6305","20190507","1753","","","","","","","",""
"6306","20190507","48","","","","","","","",""
"6307","20190508","1499","","","","","","","",""
"6308","20190508","1708","","","","","","","",""
"6309","20190508","1265","","","","","","","",""
"6310","20190508","1651","","","","","","","",""
"6311","20190508","1221","","","","","","","",""
"6312","20190509","185","","","","","","","",""
"6313","20190509","818","","","","","","","",""
"6314","20190509","1729","","","","","","","",""
"6315","20190510","1515","","","","","","","",""
"6316","20190510","1515","","","","","","","",""
"6317","20190513","673","","","","","","","",""
"6318","20190513","431","","","","","","","",""
"6319","20190513","1750","","","","","","","",""
"6320","20190514","986","","","","","","","",""
"6321","20190514","1573","","","","","","","",""
"6322","20190514","858","","","","","","","",""
"6323","20190514","1232","","","","","","","",""
"6324","20190514","1729","","","","","","","",""
"6325","20190514","1756","","","","","","","",""
"6326","20190515","163","","","","","","","",""
"6327","20190515","1445","","","","","","","",""
"6328","20190515","1753","","","","","","","",""
"6329","20190515","1721","","","","","","","",""
"6330","20190515","37","","","","","","","",""
"6331","20190516","758","","","","","","","",""
"6332","20190516","185","","","","","","","",""
"6333","20190516","1745","","","","","","","",""
"6334","20190516","1571","","","","","","","",""
"6335","20190517","254","","","","","","","",""
"6336","20190517","630","","","","","","","",""
"6337","20190517","1729","","","","","","","",""
"6338","20190517","1457","","","","","","","",""
"6339","20190517","225","","","","","","","",""
"6340","20190517","351","","","","","","","",""
"6341","20190517","29","","","","","","","",""
"6342","20190517","514","","","","","","","",""
"6343","20190517","189","","","","","","","",""
"6344","20190517","15","","","","","","","",""
"6345","20190517","1597","","","","","","","",""
"6346","20190517","1546","","","","","","","",""
"6347","20190520","1735","","","","","","","",""
"6348","20190520","1327","","","","","","","",""
"6349","20190520","1708","","","","","","","",""
"6350","20190520","1729","","","","","","","",""
"6351","20190520","1750","","","","","","","",""
"6352","20190520","1469","","","","","","","",""
"6353","20190521","547","","","","","","","",""
"6354","20190521","1593","","","","","","","",""
"6355","20190522","710","","","","","","","",""
"6356","20190522","33","","","","","","","",""
"6357","20190522","1762","","","","","","","",""
"6358","20190522","33","","","","","","","",""
"6359","20190522","1729","","","","","","","",""
"6360","20190523","1732","","","","","","","",""
"6361","20190523","1165","","","","","","","",""
"6362","20190524","220","","","","","","","",""
"6363","20190524","1462","","","","","","","",""
"6364","20190524","1627","","","","","","","",""
"6365","20190524","1307","","","","","","","",""
"6366","20190524","1772","","","","","","","",""
"6367","20190524","1735","","","","","","","",""
"6368","20190527","1773","","","","","","","",""
"6369","20190527","1334","","","","","","","",""
"6370","20190527","1535","","","","","","","",""
"6371","20190528","1625","","","","","","","",""
"6372","20190528","1231","","","","","","","",""
"6373","20190530","184","","","","","","","",""
"6374","20190530","1019","","","","","","","",""
"6375","20190530","888","","","","","","","",""
"6376","20190530","623","","","","","","","",""
"6377","20190530","747","","","","","","","",""
"6378","20190530","1056","","","","","","","",""
"6379","20190530","1693","","","","","","","",""
"6380","20190531","185","","","","","","","",""
"6381","20190531","710","","","","","","","",""
"6382","20190531","1499","","","","","","","",""
"6383","20190531","1485","","","","","","","",""
"6384","20190603","1238","","","","","","","",""
"6385","20190603","1443","","","","","","","",""
"6386","20190603","1471","","","","","","","",""
"6387","20190603","1238","","","","","","","",""
"6388","20190603","1443","","","","","","","",""
"6389","20190603","1443","","","","","","","",""
"6390","20190603","1443","","","","","","","",""
"6391","20190603","1471","","","","","","","",""
"6392","20190603","1713","","","","","","","",""
"6393","20190604","547","","","","","","","",""
"6394","20190604","1571","","","","","","","",""
"6395","20190604","1753","","","","","","","",""
"6396","20190604","17","","","","","","","",""
"6397","20190604","945","","","","","","","",""
"6398","20190604","944","","","","","","","",""
"6399","20190604","943","","","","","","","",""
"6400","20190604","1722","","","","","","","",""
"6401","20190604","990","","","","","","","",""
"6402","20190604","1733","","","","","","","",""
"6403","20190604","1085","","","","","","","",""
"6404","20190604","1578","","","","","","","",""
"6405","20190604","1533","","","","","","","",""
"6406","20190605","1707","","","","","","","",""
"6407","20190605","1773","","","","","","","",""
"6408","20190605","889","","","","","","","",""
"6409","20190605","1221","","","","","","","",""
"6410","20190605","1708","","","","","","","",""
"6411","20190605","1752","","","","","","","",""
"6412","20190605","1445","","","","","","","",""
"6413","20190606","1188","","","","","","","",""
"6414","20190606","1754","","","","","","","",""
"6415","20190606","948","","","","","","","",""
"6416","20190606","501","","","","","","","",""
"6417","20190606","1205","","","","","","","",""
"6418","20190606","1748","","","","","","","",""
"6419","20190606","1065","","","","","","","",""
"6420","20190606","69","","","","","","","",""
"6421","20190606","493","","","","","","","",""
"6422","20190607","1053","","","","","","","",""
"6423","20190607","1758","","","","","","","",""
"6424","20190607","1318","","","","","","","",""
"6425","20190607","1775","","","","","","","",""
"6426","20190610","1232","","","","","","","",""
"6427","20190610","1255","","","","","","","",""
"6428","20190610","1735","","","","","","","",""
"6429","20190611","946","","","","","","","",""
"6430","20190612","1695","","","","","","","",""
"6431","20190612","1743","","","","","","","",""
