"PAGNUM","PAGSEC","PAGTIP","PAGIMP","PAGCHENUM","PAGCHEBAN","PAGCHEEST","PAGOBS","","","","","","","",""
"6027","6","Cheque","5210","93191298","ICBC","","","","","","","","","",""
"6027","7","Cheque","5210","93191299","ICBC","","","","","","","","","",""
"6027","8","Cheque","5210","93191300","ICBC","","","","","","","","","",""
"6027","9","Cheque","5210","93833849","ICBC","","","","","","","","","",""
"6027","10","Cheque","6000","17539310","PATAGONIA","","","","","","","","","",""
"6027","11","Cheque","6000","17539309","PATAGONIA","","","","","","","","","",""
"6027","12","Cheque","6000","17539311","PATAGONIA","","","","","","","","","",""
"6027","13","Cheque","6000","17539314","PATAGONIA","","","","","","","","","",""
"6027","14","Cheque","6000","17539307","PATAGONIA","","","","","","","","","",""
"6027","15","Cheque","6000","17539308","PATAGONIA","","","","","","","","","",""
"6027","16","Cheque","6000","17539312","PATAGONIA","","","","","","","","","",""
"6027","17","Cheque","6000","17539313","PATAGONIA","","","","","","","","","",""
"6028","1","Efectivo","741.7","","","","","","","","","","","",""
"6029","1","Efectivo","2962.36","","","","","","","","","","","",""
"6030","1","Cheque","5415.96","00236447","FRANCES","","","","","","","","","",""
"6031","1","Cheque","6092","17823668","PATAGONIA","","","","","","","","","",""
"6031","2","Cheque","6000","17823669","PATAGONIA","","","","","","","","","",""
"6032","1","Efectivo","4857.86","","","","","","","","","","","",""
"6033","1","Deposito","1000","","CREDICOOP","","","","","","","","","",""
"6034","1","Cheque","7500","16387926","PATAGONIA","","","","","","","","","",""
"6034","2","Cheque","7500","16387927","PATAGONIA","","","","","","","","","",""
"6035","1","Deposito","11587.69","","NACION","","","","","","","","","",""
"6036","1","Deposito","7510","","CREDICOOP","","","","","","","","","",""
"6037","1","Cheque","3000","42130342","PROVINCIA","","","","","","","","","",""
"6037","2","Efectivo","684.9","","","","","","","","","","","",""
"6038","1","Efectivo","1612.8","","","","","","","","","","","",""
"6039","1","Cheque","9325","90096790","MACRO","","","","","","","","","",""
"6040","1","Deposito","29212.95","","CREDICOOP","","","","","","","","","",""
"6041","1","Deposito","4000","","CREDICOOP","","","","","","","","","",""
"6042","1","Deposito","6606.6","","NACION","","","","","","","","","",""
"6043","1","Cheque","20670.67","16665841","CHUBUT","","","","","","","","","",""
"6044","1","Cheque","27288.16","16746809","CHUBUT","","","","","","","","","",""
"6045","1","Deposito","18867.43","","CREDICOOP","","","","","","","","","",""
"6046","1","Efectivo","1095","","","","","","","","","","","",""
"6047","1","Efectivo","4867.67","","","","","","","","","","","",""
"6048","1","Efectivo","4240.02","","","","","","","","","","","",""
"6049","1","Efectivo","5519.05","","","","","","","","","","","",""
"6050","1","Efectivo","2081.24","","","","","","","","","","","",""
"6051","1","Cheque","2375","32177801","LA PAMPA","","","","","","","","","",""
"6051","2","Cheque","2375","32177803","LA PAMPA","","","","","","","","","",""
"6052","1","Efectivo","1606","","","","","","","","","","","",""
"6053","1","Cheque","7585","32086015","LA PAMPA","","","","","","","","","",""
"6053","2","Efectivo","299.31","","","","","","","","","","","",""
"6054","1","Efectivo","2000","","","","","","","","","","","",""
"6055","1","Efectivo","4733.83","","","","","","","","","","","",""
"6056","1","Efectivo","803","","","","","","","","","","","",""
"6057","1","Cheque","5302.32","87694519","MACRO","","","","","","","","","",""
"6057","2","Otros","77.82","","RETENCION","","","","","","","","","",""
"6058","1","Efectivo","584","","","","","","","","","","","",""
"6059","1","Efectivo","1422.8","","","","","","","","","","","",""
"6060","1","Deposito","5318.42","","CREDICOOP","","","","","","","","","",""
"6061","1","Efectivo","4101.4","","","","","","","","","","","",""
"6063","1","Efectivo","787.9","","","","","","","","","","","",""
"6064","1","Deposito","2000","","CREDICOOP","","","","","","","","","",""
"6065","1","Efectivo","20006.64","","","","","","","","","","","",""
"6066","1","Efectivo","20000","","","","","","","","","","","",""
"6068","1","Efectivo","1751.3","","","","","","","","","","","",""
"6069","1","Efectivo","1656.53","","","","","","","","","","","",""
"6071","1","Cheque","6612","86949099","MACRO","","","","","","","","","",""
"6071","2","Cheque","6822","32126179","LA PAMPA","","","","","","","","","",""
"6071","3","Efectivo","352.91","","","","","","","","","","","",""
"6072","1","Cheque","6315.5","17866004","PATAGONIA","","","","","","","","","",""
"6072","2","Cheque","6315.5","17866005","PATAGONIA","","","","","","","","","",""
"6073","1","Efectivo","3981.3","","","","","","","","","","","",""
"6074","1","Efectivo","6759.62","","","","","","","","","","","",""
"6075","1","Deposito","16819.2","","CREDICOOP","","","","","","","","","",""
"6076","1","Cheque","7862","86346973","MACRO","","","","","","","","","",""
"6077","1","Cheque","15250.11","91329724","MACRO","","","","","","","","","",""
"6078","1","Efectivo","9112.51","","","","","","","","","","","",""
"6079","1","Cheque","2476","84286140","RIO","","","","","","","","","",""
"6079","2","Cheque","4633.58","00002774","RIO","","","","","","","","","",""
"6079","3","Cheque","1460","50995138","PROVINCIA","","","","","","","","","",""
"6079","4","Efectivo","5927.42","","","","","","","","","","","",""
"6080","1","Efectivo","5047.55","","","","","","","","","","","",""
"6081","1","Efectivo","7246.8","","","","","","","","","","","",""
"6082","1","Efectivo","13296.17","","","","","","","","","","","",""
"6083","1","Cheque","30514","63081059","PROVINCIA","","","","","","","","","",""
"6083","2","Cheque","30514","63081060","PROVINCIA","","","","","","","","","",""
"6083","3","Cheque","30514","63081061","PROVINCIA","","","","","","","","","",""
"6084","1","Efectivo","8469.52","","","","","","","","","","","",""
"6085","1","Efectivo","14899.16","","","","","","","","","","","",""
"6086","1","Efectivo","10000","","","","","","","","","","","",""
"6087","1","Cheque","2744","92693422","MACRO","","","","","","","","","",""
"6087","2","Cheque","2744","92693423","MACRO","","","","","","","","","",""
"6087","3","Cheque","2744","92693424","MACRO","","","","","","","","","",""
"6087","4","Cheque","2744","92693425","MACRO","","","","","","","","","",""
"6087","5","Cheque","2744","92693426","MACRO","","","","","","","","","",""
"6087","6","Cheque","2744","92693427","MACRO","","","","","","","","","",""
"6087","7","Cheque","2750","92693428","MACRO","","","","","","","","","",""
"6088","1","Efectivo","438.6","","","","","","","","","","","",""
"6089","1","Efectivo","2024.9","","","","","","","","","","","",""
"6090","1","Efectivo","49000","","","","","","","","","","","",""
"6091","1","Cheque","8620","17627163","PATAGONIA","","","","","","","","","",""
"6092","1","Deposito","3272.96","","CREDICOOP","","","","","","","","","",""
"6093","1","Efectivo","1809.63","","","","","","","","","","","",""
"6094","1","Efectivo","4054.8","","","","","","","","","","","",""
"6095","1","Deposito","14303.51","","CREDICOOP","","","","","","","","","",""
"6097","1","Cheque","15936.06","04651070","SANTA CRUZ","","","","","","","","","",""
"6098","1","Cheque","22372.78","04651070","SANRA CRUZ","","","","","","","","","",""
"6099","1","Cheque","23751.09","04628875","SANTA CRUZ","","","","","","","","","",""
"6100","1","Cheque","14839.44","04637082","SANTA CRUZ","","","","","","","","","",""
"6101","1","Cheque","17225.53","04625204","SANTA CRUZ","","","","","","","","","",""
"6102","1","Cheque","9819.2","00000002","NACION","","","","","","","","","",""
"6103","1","Efectivo","4071.68","","","","","","","","","","","",""
"6104","1","Cheque","45000","47216944","CREDICOOP","","","","","","","","","",""
"6105","1","Cheque","1377","62949196","PROVINCIA","","","","","","","","","",""
"6105","2","Cheque","6064","81765899","BPN","","","","","","","","","",""
"6106","1","Cheque","20000","32362060","CREDICOOP","","","","","","","","","",""
"6107","1","Deposito","17170.8","","CREDICOOP","","","","","","","","","",""
"6108","1","Deposito","38710.98","","CREDICOOP","","","","","","","","","",""
"6109","1","Cheque","1589.94","59049556","HSBC","","","","","","","","","",""
"6110","1","Cheque","3000","41563141","CREDICOOP","","","","","","","","","",""
"6110","2","Cheque","25000","46733725","CREDICOOP","","","","","","","","","",""
"6111","1","Deposito","2000","","CREDICOOP","","","","","","","","","",""
"6112","1","Deposito","26644.69","","CREDICOOP","","","","","","","","","",""
"6113","1","Deposito","9715.5","","CREDICOOP","","","","","","","","","",""
"6114","1","Efectivo","12200","","","","","","","","","","","",""
"6115","1","Efectivo","26800","","","","","","","","","","","",""
"6116","1","Efectivo","28600","","","","","","","","","","","",""
"6117","1","Efectivo","80000","","","","","","","","","","","",""
"6118","1","Efectivo","8405","","","","","","","","","","","",""
"6119","1","Cheque","26975","630817079","PROVINCIA","","","","","","","","","",""
"6119","2","Cheque","20000","63081080","PROVINCIA","","","","","","","","","",""
"6120","1","Efectivo","116.57","","","","","","","","","","","",""
"6120","2","Cheque","2000","47565818","LA PAMPA","","","","","","","","","",""
"6120","3","Cheque","1931.36","23204532","GALICIA","","","","","","","","","",""
"6120","4","Cheque","3111.25","92317305","MACRO","","","","","","","","","",""
"6120","5","Cheque","5480","","LA PAMPA","","","","","","","","","",""
"6121","1","Efectivo","16554.75","","","","","","","","","","","",""
"6122","1","Deposito","5588","","CREDICOOP","","","","","","","","","",""
"6123","1","Efectivo","1450","","","","","","","","","","","",""
"6124","1","Efectivo","38878.29","","","","","","","","","","","",""
"6125","1","Efectivo","3000","","","","","","","","","","","",""
"6126","1","Efectivo","2287.8","","","","","","","","","","","",""
"6127","1","Efectivo","4263.6","","","","","","","","","","","",""
"6128","1","Efectivo","2798.4","","","","","","","","","","","",""
"6130","1","Efectivo","1496","","","","","","","","","","","",""
"6131","1","Efectivo","1050.4","","","","","","","","","","","",""
"6132","1","Efectivo","4239.01","","","","","","","","","","","",""
"6133","1","Efectivo","2857.2","","","","","","","","","","","",""
"6134","1","Efectivo","2692.8","","","","","","","","","","","",""
"6135","1","Cheque","2418","46012671","CREDICOOP","","","","","","","","","",""
"6136","1","Deposito","1407.77","","CREDICOOP","","","","","","","","","",""
