"PRODCOD","PRODDES","PRODPRE","TIPCOD","PRODSEX","PRODSTO","SUBTIPCOD","PRODSINI","PRODEST","PRODCOM","","","","","","","",""
"SB","SALES BAMBU 250 ML","64","S","","29","S3","0","A","P","","","","","","","",""
"SCO","","0","S","","0","S3","0","A","P","","","","","","","",""
"A01","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A02","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A03","","0","T","","0","ESP","0","I","P","","","","","","","",""
"J01","JABON LIQ LIMON 200 ML","88","J","","308","JL","0","A","P","","","","","","","",""
"J02","JABON LIQ.SILVESTRE 200 M","88","J","","148","JL","0","A","P","","","","","","","",""
"J03","JAB DURAZ, Y F,BLAN 200","88","J","","446","JL","0","A","P","","","","","","","",""
"J04","JABON VAINILLA 200","88","J","","442","JL","0","A","P","","","","","","","",""
"J05","","88","J","","0","JL","0","I","P","","","","","","","",""
"J06","","88","J","","0","JL","0","A","P","","","","","","","",""
"J07","","88","J","","0","JL","0","A","P","","","","","","","",""
"60","","0","Q","","0","CC","0","A","P","","","","","","","",""
"61","LIMON CREMA CORPORAL","59.5","Q","","0","CC","0","A","P","","","","","","","",""
"62","","0","Q","","0","CC","0","A","P","","","","","","","",""
"63","CHOCOLATE CREMA CORPORAL","64.85","Q","","15","CC","0","A","P","","","","","","","",""
"64","","0","Q","","0","CC","0","A","P","","","","","","","",""
"65","","0","Q","","0","CC","0","A","P","","","","","","","",""
"66","MARIA CHER PERF. 260 ML","166","H","","487","H","0","A","P","","","","","","","",""
"E158","","0","A","","0","R","0","A","P","","","","","","","",""
"E159","","0","A","","0","R","0","A","P","","","","","","","",""
"E160","","0","A","","0","R","0","A","P","","","","","","","",""
"E161","","0","A","","0","R","0","A","P","","","","","","","",""
"E162","","0","A","","0","R","0","A","P","","","","","","","",""
"E163","","0","A","","0","R","0","A","P","","","","","","","",""
"E164","","0","A","","0","R","0","A","P","","","","","","","",""
"0107","","241","I","","0","01","0","I","P","","","","","","","",""
"0108","","241","I","FEMENINO","0","01","0","A","P","","","","","","","",""
"0109","","241","I","","0","01","0","I","P","","","","","","","",""
"419","VIP MEN 53 ML","241","I","MASCULINO","467","02","0","A","P","","","","","","","",""
"420","","241","I","MASCULINO","0","02","0","I","P","","","","","","","",""
"421","","241","I","MASCULINO","0","02","0","I","P","","","","","","","",""
"M01","","1100","O","","0","CM","0","A","P","","","","","","","",""
"M02","","1100","O","","0","CM","0","A","P","","","","","","","",""
"M03","","1100","O","","0","CM","0","A","P","","","","","","","",""
"CM01","CREMA DE MANO PAPAYA","11.9","C","","179","CM","0","A","P","","","","","","","",""
"CM02","CREMA DE MANO ALMENDRA","11.9","C","","189","CM","0","A","P","","","","","","","",""
"CM03","CREMA DE MANO COCO Y VAI","11.9","C","","177","CM","0","A","P","","","","","","","",""
"E300","EXTRACTO PAPAYA 200 ML","270","D","","179","EA","0","A","P","","","","","","","",""
"E301","EXTRACTO LIMON 200 ML","270","D","","55","EA","0","A","P","","","","","","","",""
"E302","EXTRACTO FRUTOS ROJOS 200","270","D","","189","EA","0","A","P","","","","","","","",""
"E303","EXTRACTO CHOCOLATE 200 ML","270","D","","195","EA","0","A","P","","","","","","","",""
"E304","EXTRACTO ALMENDRA 200 ML","270","D","","168","EA","0","A","P","","","","","","","",""
"E305","EXTRACTO BAMBU 200 ML","270","D","","159","EA","0","A","P","","","","","","","",""
"E306","EXT COCO Y VAIN 200 ML","270","D","","128","EA","0","A","P","","","","","","","",""
"2001","SILVESTRE PERFU 5 LITROS","2030","3","","445","A","0","A","P","","","","","","","",""
"2002","FLORES BLANCAS PER B 5","2030","3","","480","A","0","A","P","","","","","","","",""
"2003","MARINA PERFUMINA 5 L","2030","3","","250","A","0","A","P","","","","","","","",""
"2004","VAINILLA PERFUMINA 5 L","2030","3","","487","A","0","A","P","","","","","","","",""
"2005","LIMON PERFUMINA 5 L","2030","3","","179","A","0","A","P","","","","","","","",""
"2006","BAMBU PERFUMINA 5 L","2030","3","","200","A","0","A","P","","","","","","","",""
"2007","PAPAYA PERFUMINA 5 L","2030","3","","200","A","0","A","P","","","","","","","",""
"2008","FRUTILLA PERFUMINA 5 L","2030","3","","192","A","0","A","P","","","","","","","",""
"2009","FLORAL PERFUMINA 5 L","2030","3","","200","A","0","A","P","","","","","","","",""
"2020","SILVESTRE PERFUMINA","0","4","","500","B","0","A","P","","","","","","","",""
"2021","FLORES BLANCAS PER 10 L","0","4","","9","B","0","A","P","","","","","","","",""
"2070","NAG CHAMPA DIFUSOR 10L","77","6","","0","6","0","A","P","","","","","","","",""
"2071","SILVESTRE DIFUSOR 10 L","77","6","","0","6","0","A","P","","","","","","","",""
"2072","JASMIN DISFUSOR 10 L","77","6","","0","6","0","A","P","","","","","","","",""
"2073","FLORES BLANCAS DIFU 10 L","77","6","","0","6","0","A","P","","","","","","","",""
"2074","FLORAL","77","6","","0","6","0","A","P","","","","","","","",""
"2075","FRUTOS ROJOS DIFU 10 L","77","6","","0","6","0","A","P","","","","","","","",""
"2076","LIMON DIFUSOR 10 L","77","6","","0","6","0","A","P","","","","","","","",""
"2077","VAINILLA DIFU 10 L","77","6","","0","6","0","A","P","","","","","","","",""
"2078","MARINA DIFUSOR 10 L","77","6","","0","6","0","A","P","","","","","","","",""
"2079","POMELO ROSADO DIFU 10 L","77","6","","0","6","0","A","P","","","","","","","",""
"2050","NAG CHAMPA DIFUSOR 2 L","2206.8","5","","310","BID","0","A","P","","","","","","","",""
"2051","SILVESTRE DISFUSOR 2","2206.8","5","","410","BID","0","A","P","","","","","","","",""
