"FACLET","FACPV","FACNUM","PRODCOD","FACCAN","FACPRE","","","","","","","",""
"E","NaN","855","664","6","99","","","","","","","",""
"E","NaN","855","669","6","99","","","","","","","",""
"E","NaN","855","671","6","99","","","","","","","",""
"E","NaN","855","APARATO","6","382","","","","","","","",""
"E","NaN","856","02","6","300","","","","","","","",""
"E","NaN","856","020","6","300","","","","","","","",""
"E","NaN","856","022","6","300","","","","","","","",""
"E","NaN","856","023","6","300","","","","","","","",""
"E","NaN","856","029","6","300","","","","","","","",""
"E","NaN","856","030","6","300","","","","","","","",""
"E","NaN","856","033","6","300","","","","","","","",""
"E","NaN","856","04","6","300","","","","","","","",""
"E","NaN","856","10","6","300","","","","","","","",""
"E","NaN","856","105","6","124","","","","","","","",""
"E","NaN","856","1201","6","154","","","","","","","",""
"E","NaN","856","1213","6","154","","","","","","","",""
"E","NaN","856","1224","6","154","","","","","","","",""
"E","NaN","856","124","6","124","","","","","","","",""
"E","NaN","856","1250","6","154","","","","","","","",""
"E","NaN","856","1253","6","154","","","","","","","",""
"E","NaN","856","1254","6","154","","","","","","","",""
"E","NaN","856","1255","6","154","","","","","","","",""
"E","NaN","856","14","6","300","","","","","","","",""
"E","NaN","856","18","6","300","","","","","","","",""
"E","NaN","856","23","6","300","","","","","","","",""
"E","NaN","856","26","6","300","","","","","","","",""
"E","NaN","856","40","6","300","","","","","","","",""
"E","NaN","856","46","6","300","","","","","","","",""
"E","NaN","856","600","6","125","","","","","","","",""
"E","NaN","856","86","6","124","","","","","","","",""
"E","NaN","856","E306","6","260","","","","","","","",""
"E","NaN","856","SB","6","64","","","","","","","",""
"E","NaN","856","SC","6","64","","","","","","","",""
"E","NaN","856","SFB","6","64","","","","","","","",""
"E","NaN","856","SFR","6","64","","","","","","","",""
"E","NaN","856","SL","6","64","","","","","","","",""
"E","NaN","856","SS","6","64","","","","","","","",""
"E","NaN","856","SV","4","64","","","","","","","",""
"E","NaN","857","651","6","99","","","","","","","",""
"E","NaN","857","657","6","99","","","","","","","",""
"E","NaN","857","663","6","99","","","","","","","",""
"E","NaN","857","664","6","99","","","","","","","",""
"E","NaN","857","667","6","99","","","","","","","",""
"E","NaN","857","APARATO","6","382","","","","","","","",""
"E","NaN","858","021","6","300","","","","","","","",""
"E","NaN","858","032","6","300","","","","","","","",""
"E","NaN","858","04","12","300","","","","","","","",""
"E","NaN","858","10","12","300","","","","","","","",""
"E","NaN","858","1206","6","154","","","","","","","",""
"E","NaN","858","1215","6","154","","","","","","","",""
"E","NaN","858","1253","6","154","","","","","","","",""
"E","NaN","858","1254","6","154","","","","","","","",""
"E","NaN","858","1255","6","154","","","","","","","",""
"E","NaN","858","14","6","300","","","","","","","",""
"E","NaN","858","40","6","300","","","","","","","",""
"E","NaN","858","43","6","300","","","","","","","",""
"E","NaN","858","44","6","300","","","","","","","",""
"E","NaN","858","46","6","300","","","","","","","",""
"E","NaN","858","E306","6","260","","","","","","","",""
"E","NaN","859","657","6","99","","","","","","","",""
