"AJUNUM","AJUFEC","PRODCOD","AJUCAN","AJUOBS","","","","","","","",""
"317","20130311","09","100","","","","","","","","",""
"318","20130311","10","100","","","","","","","","",""
"319","20130311","11","100","","","","","","","","",""
"320","20130311","12","100","","","","","","","","",""
"321","20130311","13","100","","","","","","","","",""
"322","20130311","14","100","","","","","","","","",""
"323","20130311","15","100","","","","","","","","",""
"324","20130311","16","100","","","","","","","","",""
"325","20130311","18","100","","","","","","","","",""
"326","20130311","19","100","","","","","","","","",""
"327","20130311","020","100","","","","","","","","",""
"328","20130311","021","100","","","","","","","","",""
"329","20130311","022","100","","","","","","","","",""
"330","20130311","023","100","","","","","","","","",""
"331","20130311","024","100","","","","","","","","",""
"332","20130311","20","100","","","","","","","","",""
"333","20130311","21","100","","","","","","","","",""
"334","20130311","22","100","","","","","","","","",""
"335","20130311","23","100","","","","","","","","",""
"336","20130311","24","100","","","","","","","","",""
"337","20130311","25","100","","","","","","","","",""
"338","20130311","26","100","","","","","","","","",""
"339","20130311","27","100","","","","","","","","",""
"340","20130311","28","100","","","","","","","","",""
"341","20130311","29","100","","","","","","","","",""
"343","20130311","30","100","","","","","","","","",""
"344","20130311","31","100","","","","","","","","",""
"345","20130311","32","100","","","","","","","","",""
"346","20130311","33","100","","","","","","","","",""
"347","20130311","36","100","","","","","","","","",""
"348","20130311","37","100","","","","","","","","",""
"349","20130311","38","100","","","","","","","","",""
"350","20130311","39","100","","","","","","","","",""
"354","20130311","72","12","","","","","","","","",""
"355","20130311","73","12","","","","","","","","",""
"356","20130311","76","12","","","","","","","","",""
"357","20130311","78","18","","","","","","","","",""
"358","20130311","81","18","","","","","","","","",""
"360","20130311","79","12","","","","","","","","",""
"361","20130311","82","12","","","","","","","","",""
"362","20130311","85","18","","","","","","","","",""
"365","20130311","86","18","","","","","","","","",""
"366","20130311","87","12","","","","","","","","",""
"367","20130311","89","12","","","","","","","","",""
"368","20130311","E200","6","","","","","","","","",""
"369","20130311","E201","12","","","","","","","","",""
"370","20130311","E204","12","","","","","","","","",""
"371","20130311","E204","-6","","","","","","","","",""
"372","20130311","E207","6","","","","","","","","",""
"373","20130311","E206","6","","","","","","","","",""
"374","20130311","E208","12","","","","","","","","",""
"375","20130311","E209","6","","","","","","","","",""
"377","20130311","E203","12","","","","","","","","",""
"378","20130311","E205","12","","","","","","","","",""
"380","20130318","080","4","","","","","","","","",""
"381","20130318","081","5","","","","","","","","",""
"382","20130318","083","8","","","","","","","","",""
"384","20130318","085","3","","","","","","","","",""
"385","20130318","086","8","","","","","","","","",""
"386","20130318","087","2","","","","","","","","",""
"387","20130318","088","2","","","","","","","","",""
"388","20130318","089","4","","","","","","","","",""
"389","20130318","090","3","","","","","","","","",""
"390","20130318","091","6","","","","","","","","",""
"391","20130318","092","7","","","","","","","","",""
"392","20130318","095","4","","","","","","","","",""
"393","20130318","098","4","","","","","","","","",""
"394","20130318","0103","5","","","","","","","","",""
"395","20130318","0104","10","","","","","","","","",""
"396","20130318","0106","5","","","","","","","","",""
"397","20130318","401","1","","","","","","","","",""
"398","20130318","402","8","","","","","","","","",""
"399","20130318","403","7","","","","","","","","",""
"400","20130318","404","3","","","","","","","","",""
"401","20130318","407","3","","","","","","","","",""
"402","20130318","408","9","","","","","","","","",""
"403","20130318","409","6","","","","","","","","",""
"404","20130318","410","5","","","","","","","","",""
"405","20130318","411","4","","","","","","","","",""
"406","20130318","412","4","","","","","","","","",""
"407","20130318","413","12","","","","","","","","",""
"408","20130318","414","4","","","","","","","","",""
"409","20130318","415","6","","","","","","","","",""
"410","20130318","416","7","","","","","","","","",""
"411","20130318","417","5","","","","","","","","",""
"412","20130318","418","6","","","","","","","","",""
"417","20130318","E201","4","","","","","","","","",""
"418","20130318","E202","3","","","","","","","","",""
"419","20130318","E206","2","","","","","","","","",""
"420","20130318","E209","3","","","","","","","","",""
"422","20130322","080","4","","","","","","","","",""
"423","20130322","081","2","","","","","","","","",""
"424","20130322","083","8","","","","","","","","",""
"425","20130322","085","4","","","","","","","","",""
"426","20130322","086","3","","","","","","","","",""
"427","20130322","088","4","","","","","","","","",""
"428","20130322","091","3","","","","","","","","",""
"429","20130322","092","3","","","","","","","","",""
"430","20130322","095","7","","","","","","","","",""
"431","20130322","099","9","","","","","","","","",""
"432","20130322","0100","2","","","","","","","","",""
"433","20130322","0101","3","","","","","","","","",""
"434","20130322","0103","4","","","","","","","","",""
"435","20130322","0104","2","","","","","","","","",""
"436","20130322","0105","4","","","","","","","","",""
"437","20130322","401","4","","","","","","","","",""
"438","20130322","403","3","","","","","","","","",""
"439","20130322","404","1","","","","","","","","",""
"440","20130322","408","3","","","","","","","","",""
"441","20130322","410","3","","","","","","","","",""
"442","20130322","412","2","","","","","","","","",""
"443","20130322","413","4","","","","","","","","",""
"444","20130322","417","4","","","","","","","","",""
"447","20130325","080","100","","","","","","","","",""
"448","20130325","081","100","","","","","","","","",""
"450","20130325","083","100","","","","","","","","",""
"451","20130325","084","100","","","","","","","","",""
"452","20130325","085","100","","","","","","","","",""
"453","20130325","086","100","","","","","","","","",""
"454","20130325","087","100","","","","","","","","",""
"455","20130325","088","100","","","","","","","","",""
"456","20130325","089","100","","","","","","","","",""
"457","20130325","090","100","","","","","","","","",""
"458","20130325","091","100","","","","","","","","",""
"459","20130325","092","100","","","","","","","","",""
"460","20130325","095","100","","","","","","","","",""
"461","20130325","098","100","","","","","","","","",""
"462","20130325","099","100","","","","","","","","",""
"463","20130325","0101","100","","","","","","","","",""
"464","20130325","0102","100","","","","","","","","",""
"465","20130325","0103","100","","","","","","","","",""
"466","20130325","0104","100","","","","","","","","",""
"467","20130325","0105","100","","","","","","","","",""
"468","20130325","0106","100","","","","","","","","",""
"469","20130325","401","100","","","","","","","","",""
"470","20130325","402","100","","","","","","","","",""
"471","20130325","403","100","","","","","","","","",""
"472","20130325","404","100","","","","","","","","",""
"475","20130325","407","100","","","","","","","","",""
"476","20130325","408","100","","","","","","","","",""
"477","20130325","409","100","","","","","","","","",""
"478","20130325","410","100","","","","","","","","",""
"479","20130325","411","100","","","","","","","","",""
"480","20130325","412","100","","","","","","","","",""
"481","20130325","413","100","","","","","","","","",""
"482","20130325","414","100","","","","","","","","",""
