"REMNUM","PRODCOD","REMCAN","REMPRE","","","","","","","",""
"8562","E01","5","25.6","","","","","","","",""
"8562","E03","5","25.6","","","","","","","",""
"8562","E04","5","25.6","","","","","","","",""
"8562","E06","5","25.6","","","","","","","",""
"8562","E09","5","25.6","","","","","","","",""
"8562","E18","5","25.6","","","","","","","",""
"8562","LL","5","27.3","","","","","","","",""
"8562","S01","10","22.5","","","","","","","",""
"8562","S02","10","22.5","","","","","","","",""
"8562","S03","10","22.5","","","","","","","",""
"8562","S04","10","22.5","","","","","","","",""
"8562","S05","10","22.5","","","","","","","",""
"8562","S06","10","22.5","","","","","","","",""
"8562","S07","10","22.5","","","","","","","",""
"8563","650","3","73","","","","","","","",""
"8563","651","3","73","","","","","","","",""
"8563","654","3","73","","","","","","","",""
"8563","656","3","73","","","","","","","",""
"8563","657","3","73","","","","","","","",""
"8563","658","3","73","","","","","","","",""
"8563","660","3","73","","","","","","","",""
"8563","664","3","73","","","","","","","",""
"8563","671","3","73","","","","","","","",""
"8563","672","3","73","","","","","","","",""
"8564","100","2","76.8","","","","","","","",""
"8564","102","2","76.8","","","","","","","",""
"8564","103","2","76.8","","","","","","","",""
"8564","104","2","76.8","","","","","","","",""
"8564","108","2","76.8","","","","","","","",""
"8564","110","2","76.8","","","","","","","",""
"8564","112","2","76.8","","","","","","","",""
"8564","114","2","76.8","","","","","","","",""
"8564","117","2","76.8","","","","","","","",""
"8564","118","2","76.8","","","","","","","",""
"8564","120","2","76.8","","","","","","","",""
"8564","121","2","76.8","","","","","","","",""
"8564","122","2","76.8","","","","","","","",""
"8564","124","2","76.8","","","","","","","",""
"8564","78","2","76.8","","","","","","","",""
"8564","79","2","76.8","","","","","","","",""
"8564","86","2","76.8","","","","","","","",""
"8564","LL","4","27.3","","","","","","","",""
"8565","651","2","73","","","","","","","",""
"8565","654","2","73","","","","","","","",""
"8565","655","2","73","","","","","","","",""
"8565","657","2","73","","","","","","","",""
"8565","659","2","73","","","","","","","",""
"8565","660","2","73","","","","","","","",""
"8565","662","2","73","","","","","","","",""
"8565","663","2","73","","","","","","","",""
"8565","664","2","73","","","","","","","",""
"8565","666","2","73","","","","","","","",""
"8565","668","2","73","","","","","","","",""
"8565","670","2","73","","","","","","","",""
"8565","671","2","73","","","","","","","",""
"8565","672","2","73","","","","","","","",""
"8565","673","2","73","","","","","","","",""
"8565","674","2","73","","","","","","","",""
"8565","198","1","490.56","","","","","","","",""
"8564","198","1","571.28","","","","","","","",""
"8566","118","2","59.9","","","","","","","",""
"8566","1201","2","76.99","","","","","","","",""
"8566","1202","2","76.99","","","","","","","",""
"8566","1206","2","76.99","","","","","","","",""
"8566","1212","2","76.99","","","","","","","",""
"8566","1221","3","76.99","","","","","","","",""
"8566","1224","2","76.99","","","","","","","",""
"8566","1255","2","76.99","","","","","","","",""
"8566","193","1","59.9","","","","","","","",""
"8566","2002","3","627.84","","","","","","","",""
"8566","2050","1","907.2","","","","","","","",""
"8566","82","2","59.9","","","","","","","",""
"8566","97","2","59.9","","","","","","","",""
"8567","650","6","67.55","","","","","","","",""
"8567","651","6","67.55","","","","","","","",""
"8567","652","6","67.55","","","","","","","",""
"8567","APARATO","3","220","","","","","","","",""
"8568","1216","2","76.99","","","","","","","",""
"8568","1220","2","76.99","","","","","","","",""
"8568","1222","2","76.99","","","","","","","",""
"8568","1254","6","76.99","","","","","","","",""
"8568","2002","1","627.84","","","","","","","",""
"8568","2050","2","907.2","","","","","","","",""
"8569","APARATO","3","220","","","","","","","",""
"8570","E05","7","19.97","","","","","","","",""
"8571","659","12","67.55","","","","","","","",""
"8571","671","12","67.55","","","","","","","",""
"8571","672","12","67.55","","","","","","","",""
"8571","674","12","67.55","","","","","","","",""
"8572","0103","2","119.35","","","","","","","",""
"8572","0104","2","119.35","","","","","","","",""
"8572","0105","3","119.35","","","","","","","",""
"8572","0106","1","119.35","","","","","","","",""
"8572","0110","2","119.35","","","","","","","",""
"8572","0112","1","119.35","","","","","","","",""
"8572","080","2","119.35","","","","","","","",""
"8572","083","2","119.35","","","","","","","",""
"8572","085","1","119.35","","","","","","","",""
"8572","086","3","119.35","","","","","","","",""
"8572","090","1","119.35","","","","","","","",""
"8572","091","2","119.35","","","","","","","",""
"8572","092","1","119.35","","","","","","","",""
"8572","095","1","119.35","","","","","","","",""
"8572","099","1","119.35","","","","","","","",""
"8572","199","1","400","","","","","","","",""
"8572","403","1","119.35","","","","","","","",""
"8572","404","1","119.35","","","","","","","",""
"8572","412","2","119.35","","","","","","","",""
"8572","413","2","119.35","","","","","","","",""
"8572","415","1","119.35","","","","","","","",""
"8572","417","2","119.35","","","","","","","",""
"8572","419","1","119.35","","","","","","","",""
"8572","421","2","119.35","","","","","","","",""
"8572","422","1","119.35","","","","","","","",""
"8572","425","1","119.35","","","","","","","",""
"8573","0103","1","96.36","","","","","","","",""
"8573","0104","1","96.36","","","","","","","",""
"8573","0110","2","96.36","","","","","","","",""
"8573","0111","2","96.36","","","","","","","",""
"8573","0113","1","96.36","","","","","","","",""
"8573","0116","1","96.36","","","","","","","",""
"8573","021","1","164.12","","","","","","","",""
"8573","023","1","164.12","","","","","","","",""
"8573","07","1","164.12","","","","","","","",""
"8573","081","3","96.36","","","","","","","",""
"8573","083","2","96.36","","","","","","","",""
"8573","086","2","96.36","","","","","","","",""
"8573","089","2","96.36","","","","","","","",""
"8573","091","3","96.36","","","","","","","",""
"8573","095","2","96.36","","","","","","","",""
"8573","10","1","164.12","","","","","","","",""
"8573","105","1","67.58","","","","","","","",""
"8573","114","1","67.58","","","","","","","",""
"8573","120","1","67.58","","","","","","","",""
"8573","193","1","67.58","","","","","","","",""
"8573","194","1","67.58","","","","","","","",""
"8573","196","2","67.58","","","","","","","",""
"8573","21","1","164.12","","","","","","","",""
"8573","22","1","164.12","","","","","","","",""
"8573","27","1","164.12","","","","","","","",""
"8573","28","1","164.12","","","","","","","",""
"8573","401","2","96.36","","","","","","","",""
"8573","407","1","96.36","","","","","","","",""
"8573","408","2","96.36","","","","","","","",""
"8573","413","3","96.36","","","","","","","",""
"8573","421","1","96.36","","","","","","","",""
"8573","424","1","96.36","","","","","","","",""
"8573","43","1","164.12","","","","","","","",""
"8573","44","1","164.12","","","","","","","",""
"8573","82","1","67.58","","","","","","","",""
"8574","100","3","72.96","","","","","","","",""
"8574","114","2","72.96","","","","","","","",""
"8574","1201","2","93.76","","","","","","","",""
