"PAGNUM","REMNUM","","","","","","","",""
"6076","8242","","","","","","","",""
"6077","8246","","","","","","","",""
"6078","8486","","","","","","","",""
"6079","8443","","","","","","","",""
"6079","8444","","","","","","","",""
"6080","8441","","","","","","","",""
"6080","8442","","","","","","","",""
"6081","8464","","","","","","","",""
"6081","8465","","","","","","","",""
"6082","8452","","","","","","","",""
"6082","8453","","","","","","","",""
"6083","8877","","","","","","","",""
"6083","8882","","","","","","","",""
"6084","8902","","","","","","","",""
"6084","8903","","","","","","","",""
"6085","8397","","","","","","","",""
"6086","8394","","","","","","","",""
"6087","8733","","","","","","","",""
"6088","8912","","","","","","","",""
"6089","8908","","","","","","","",""
"6090","8699","","","","","","","",""
"6090","8747","","","","","","","",""
"6090","8748","","","","","","","",""
"6091","8206","","","","","","","",""
"6091","8207","","","","","","","",""
"6092","8546","","","","","","","",""
"6093","8917","","","","","","","",""
"6093","8924","","","","","","","",""
"6094","8925","","","","","","","",""
"6095","8494","","","","","","","",""
"6095","8495","","","","","","","",""
"6096","8635","","","","","","","",""
"6096","8636","","","","","","","",""
"6097","8648","","","","","","","",""
"6097","8649","","","","","","","",""
"6098","8643","","","","","","","",""
"6098","8644","","","","","","","",""
"6099","8654","","","","","","","",""
"6099","8655","","","","","","","",""
"6100","8641","","","","","","","",""
"6100","8642","","","","","","","",""
"6101","8637","","","","","","","",""
"6101","8638","","","","","","","",""
"6102","8562","","","","","","","",""
"6102","8563","","","","","","","",""
"6103","8932","","","","","","","",""
"6103","8933","","","","","","","",""
"6105","8787","","","","","","","",""
"6105","8788","","","","","","","",""
"6105","8789","","","","","","","",""
"6105","8790","","","","","","","",""
"6107","8652","","","","","","","",""
"6107","8653","","","","","","","",""
"6108","8650","","","","","","","",""
"6108","8651","","","","","","","",""
"6109","8694","","","","","","","",""
"6112","8490","","","","","","","",""
"6112","8491","","","","","","","",""
"6112","8492","","","","","","","",""
"6112","8493","","","","","","","",""
"6113","8891","","","","","","","",""
"6114","8922","","","","","","","",""
"6115","8754","","","","","","","",""
"6115","8755","","","","","","","",""
"6115","8769","","","","","","","",""
"6115","8770","","","","","","","",""
"6115","8774","","","","","","","",""
"6115","8781","","","","","","","",""
"6115","8782","","","","","","","",""
"6115","8795","","","","","","","",""
"6115","8796","","","","","","","",""
"6115","8806","","","","","","","",""
"6115","8807","","","","","","","",""
"6115","8819","","","","","","","",""
"6115","8825","","","","","","","",""
"6115","8826","","","","","","","",""
"6115","8840","","","","","","","",""
"6115","8841","","","","","","","",""
"6115","8846","","","","","","","",""
"6115","8858","","","","","","","",""
"6115","8859","","","","","","","",""
"6115","8861","","","","","","","",""
"6115","8866","","","","","","","",""
"6115","8867","","","","","","","",""
"6115","8874","","","","","","","",""
"6115","8875","","","","","","","",""
"6115","8886","","","","","","","",""
"6115","8887","","","","","","","",""
"6115","8892","","","","","","","",""
"6115","8893","","","","","","","",""
"6115","8906","","","","","","","",""
"6115","8907","","","","","","","",""
"6115","8914","","","","","","","",""
"6115","8915","","","","","","","",""
"6115","8926","","","","","","","",""
"6115","8927","","","","","","","",""
"6115","8934","","","","","","","",""
"6115","8935","","","","","","","",""
"6115","8940","","","","","","","",""
"6115","8941","","","","","","","",""
"6116","8759","","","","","","","",""
"6116","8760","","","","","","","",""
"6116","8761","","","","","","","",""
"6116","8762","","","","","","","",""
"6116","8773","","","","","","","",""
"6116","8778","","","","","","","",""
"6116","8779","","","","","","","",""
"6116","8812","","","","","","","",""
"6116","8813","","","","","","","",""
"6116","8831","","","","","","","",""
"6116","8832","","","","","","","",""
"6116","8844","","","","","","","",""
"6116","8845","","","","","","","",""
"6116","8856","","","","","","","",""
"6116","8857","","","","","","","",""
"6116","8862","","","","","","","",""
"6116","8868","","","","","","","",""
"6116","8869","","","","","","","",""
"6116","8888","","","","","","","",""
"6116","8928","","","","","","","",""
"6116","8929","","","","","","","",""
"6117","8771","","","","","","","",""
"6117","8772","","","","","","","",""
"6117","8785","","","","","","","",""
"6117","8786","","","","","","","",""
"6117","8811","","","","","","","",""
"6117","8829","","","","","","","",""
"6117","8830","","","","","","","",""
"6117","8847","","","","","","","",""
"6117","8860","","","","","","","",""
"6117","8878","","","","","","","",""
"6117","8896","","","","","","","",""
"6117","8897","","","","","","","",""
"6117","8913","","","","","","","",""
"6117","8943","","","","","","","",""
"6117","8944","","","","","","","",""
"6118","8744","","","","","","","",""
"6119","8948","","","","","","","",""
"6120","8780","","","","","","","",""
"6121","8043","","","","","","","",""
"6122","8936","","","","","","","",""
"6123","8971","","","","","","","",""
"6124","8945","","","","","","","",""
"6124","8946","","","","","","","",""
"6125","8923","","","","","","","",""
