"VENCOD","CLICOD","","","","","","","",""
"112","585","","","","","","","",""
"111","626","","","","","","","",""
"4","627","","","","","","","",""
"104","551","","","","","","","",""
"4","628","","","","","","","",""
"104","629","","","","","","","",""
"104","630","","","","","","","",""
"106","631","","","","","","","",""
"112","632","","","","","","","",""
"104","633","","","","","","","",""
"27","634","","","","","","","",""
"103","635","","","","","","","",""
"20","636","","","","","","","",""
"106","637","","","","","","","",""
"106","638","","","","","","","",""
"106","639","","","","","","","",""
"5","640","","","","","","","",""
"106","641","","","","","","","",""
"104","642","","","","","","","",""
"10","643","","","","","","","",""
"111","645","","","","","","","",""
"112","646","","","","","","","",""
"112","647","","","","","","","",""
"3","648","","","","","","","",""
"112","548","","","","","","","",""
"102","649","","","","","","","",""
"103","650","","","","","","","",""
"112","651","","","","","","","",""
"104","654","","","","","","","",""
"11","655","","","","","","","",""
"112","656","","","","","","","",""
"106","657","","","","","","","",""
"112","659","","","","","","","",""
"103","660","","","","","","","",""
"112","661","","","","","","","",""
"104","662","","","","","","","",""
"103","663","","","","","","","",""
"103","666","","","","","","","",""
"111","362","","","","","","","",""
"112","667","","","","","","","",""
"4","668","","","","","","","",""
"4","669","","","","","","","",""
"104","670","","","","","","","",""
"4","671","","","","","","","",""
"104","672","","","","","","","",""
"112","557","","","","","","","",""
"112","560","","","","","","","",""
"111","673","","","","","","","",""
"102","674","","","","","","","",""
"5","483","","","","","","","",""
"3","675","","","","","","","",""
"103","676","","","","","","","",""
"4","677","","","","","","","",""
"5","680","","","","","","","",""
"5","681","","","","","","","",""
"100","470","","","","","","","",""
"103","682","","","","","","","",""
"103","531","","","","","","","",""
"111","683","","","","","","","",""
"25","684","","","","","","","",""
"103","685","","","","","","","",""
"4","688","","","","","","","",""
"20","689","","","","","","","",""
"25","690","","","","","","","",""
"103","691","","","","","","","",""
"104","692","","","","","","","",""
"103","693","","","","","","","",""
"25","694","","","","","","","",""
"112","695","","","","","","","",""
"25","696","","","","","","","",""
"5","697","","","","","","","",""
"5","698","","","","","","","",""
"5","699","","","","","","","",""
"5","700","","","","","","","",""
"25","701","","","","","","","",""
"4","702","","","","","","","",""
"3","703","","","","","","","",""
"103","704","","","","","","","",""
"103","436","","","","","","","",""
"25","705","","","","","","","",""
"111","706","","","","","","","",""
"103","707","","","","","","","",""
"4","711","","","","","","","",""
"103","712","","","","","","","",""
"112","558","","","","","","","",""
"4","713","","","","","","","",""
"113","715","","","","","","","",""
"113","718","","","","","","","",""
"113","721","","","","","","","",""
"4","722","","","","","","","",""
"111","723","","","","","","","",""
"113","724","","","","","","","",""
"113","725","","","","","","","",""
"113","726","","","","","","","",""
"103","727","","","","","","","",""
"113","728","","","","","","","",""
"111","729","","","","","","","",""
"113","732","","","","","","","",""
"103","733","","","","","","","",""
"11","734","","","","","","","",""
"113","736","","","","","","","",""
"25","738","","","","","","","",""
"113","739","","","","","","","",""
"113","742","","","","","","","",""
"113","740","","","","","","","",""
"112","743","","","","","","","",""
"4","744","","","","","","","",""
"113","745","","","","","","","",""
"113","746","","","","","","","",""
"4","282","","","","","","","",""
"112","747","","","","","","","",""
"113","749","","","","","","","",""
"113","748","","","","","","","",""
"20","754","","","","","","","",""
"4","755","","","","","","","",""
"103","756","","","","","","","",""
"20","758","","","","","","","",""
"113","759","","","","","","","",""
"113","760","","","","","","","",""
"4","762","","","","","","","",""
"4","763","","","","","","","",""
"102","765","","","","","","","",""
"102","766","","","","","","","",""
"102","767","","","","","","","",""
"113","768","","","","","","","",""
"4","769","","","","","","","",""
"4","770","","","","","","","",""
"4","771","","","","","","","",""
"25","772","","","","","","","",""
"4","773","","","","","","","",""
"112","775","","","","","","","",""
"4","777","","","","","","","",""
"25","779","","","","","","","",""
"4","780","","","","","","","",""
"25","781","","","","","","","",""
"4","782","","","","","","","",""
"4","784","","","","","","","",""
"103","785","","","","","","","",""
"109","786","","","","","","","",""
"113","787","","","","","","","",""
"4","790","","","","","","","",""
"4","593","","","","","","","",""
"20","791","","","","","","","",""
"4","541","","","","","","","",""
"102","792","","","","","","","",""
"4","793","","","","","","","",""
"113","794","","","","","","","",""
"4","185","","","","","","","",""
"103","364","","","","","","","",""
"4","198","","","","","","","",""
"114","795","","","","","","","",""
"114","796","","","","","","","",""
"113","797","","","","","","","",""
"5","798","","","","","","","",""
"4","184","","","","","","","",""
"103","799","","","","","","","",""
"103","800","","","","","","","",""
"25","801","","","","","","","",""
"25","802","","","","","","","",""
"20","803","","","","","","","",""
"20","805","","","","","","","",""
"103","806","","","","","","","",""
"113","807","","","","","","","",""
"102","808","","","","","","","",""
"20","164","","","","","","","",""
"25","809","","","","","","","",""
"4","810","","","","","","","",""
"4","812","","","","","","","",""
"102","813","","","","","","","",""
"111","814","","","","","","","",""
"113","816","","","","","","","",""
"27","817","","","","","","","",""
"4","818","","","","","","","",""
"25","820","","","","","","","",""
"4","821","","","","","","","",""
"20","822","","","","","","","",""
"4","824","","","","","","","",""
"4","825","","","","","","","",""
"4","827","","","","","","","",""
"103","828","","","","","","","",""
"103","829","","","","","","","",""
"103","831","","","","","","","",""
"20","832","","","","","","","",""
"4","833","","","","","","","",""
"24","228","","","","","","","",""
"20","178","","","","","","","",""
"11","215","","","","","","","",""
"20","25","","","","","","","",""
"115","191","","","","","","","",""
"115","601","","","","","","","",""
"115","602","","","","","","","",""
"115","605","","","","","","","",""
"115","609","","","","","","","",""
"115","610","","","","","","","",""
"115","614","","","","","","","",""
"115","625","","","","","","","",""
"4","844","","","","","","","",""
"5","845","","","","","","","",""
"116","846","","","","","","","",""
"116","847","","","","","","","",""
"116","848","","","","","","","",""
"100","849","","","","","","","",""
"103","851","","","","","","","",""
"103","852","","","","","","","",""
"113","853","","","","","","","",""
"103","855","","","","","","","",""
"103","857","","","","","","","",""
"4","859","","","","","","","",""
"4","860","","","","","","","",""
"103","862","","","","","","","",""
"27","863","","","","","","","",""
"103","866","","","","","","","",""
"103","867","","","","","","","",""
"25","869","","","","","","","",""
"20","871","","","","","","","",""
"103","872","","","","","","","",""
"103","873","","","","","","","",""
"103","874","","","","","","","",""
"4","875","","","","","","","",""
"25","877","","","","","","","",""
"4","878","","","","","","","",""
"4","879","","","","","","","",""
"4","277","","","","","","","",""
"100","880","","","","","","","",""
"20","881","","","","","","","",""
"102","882","","","","","","","",""
"4","883","","","","","","","",""
"102","884","","","","","","","",""
"20","885","","","","","","","",""
"116","886","","","","","","","",""
"20","887","","","","","","","",""
"119","890","","","","","","","",""
"119","891","","","","","","","",""
"119","892","","","","","","","",""
"119","895","","","","","","","",""
"119","896","","","","","","","",""
"119","897","","","","","","","",""
"119","898","","","","","","","",""
"119","899","","","","","","","",""
"119","900","","","","","","","",""
"113","901","","","","","","","",""
"113","902","","","","","","","",""
"4","904","","","","","","","",""
"119","905","","","","","","","",""
"119","906","","","","","","","",""
"20","907","","","","","","","",""
"113","909","","","","","","","",""
"112","910","","","","","","","",""
"119","911","","","","","","","",""
"119","912","","","","","","","",""
"25","913","","","","","","","",""
"103","914","","","","","","","",""
"20","741","","","","","","","",""
"20","811","","","","","","","",""
"4","917","","","","","","","",""
"119","918","","","","","","","",""
"119","919","","","","","","","",""
"4","921","","","","","","","",""
"20","922","","","","","","","",""
"20","923","","","","","","","",""
"20","719","","","","","","","",""
"20","815","","","","","","","",""
"20","720","","","","","","","",""
"20","761","","","","","","","",""
"119","924","","","","","","","",""
"20","750","","","","","","","",""
"112","925","","","","","","","",""
"25","926","","","","","","","",""
"20","856","","","","","","","",""
"119","927","","","","","","","",""
"119","928","","","","","","","",""
"25","929","","","","","","","",""
"119","930","","","","","","","",""
"119","931","","","","","","","",""
"119","932","","","","","","","",""
"119","933","","","","","","","",""
"119","934","","","","","","","",""
"119","935","","","","","","","",""
"102","131","","","","","","","",""
"4","936","","","","","","","",""
"4","342","","","","","","","",""
"20","714","","","","","","","",""
"20","783","","","","","","","",""
"20","823","","","","","","","",""
"103","937","","","","","","","",""
"25","938","","","","","","","",""
"4","939","","","","","","","",""
"4","940","","","","","","","",""
"4","942","","","","","","","",""
"20","943","","","","","","","",""
"20","944","","","","","","","",""
"20","945","","","","","","","",""
"20","764","","","","","","","",""
"20","737","","","","","","","",""
"20","735","","","","","","","",""
"25","947","","","","","","","",""
"4","574","","","","","","","",""
"25","948","","","","","","","",""
"119","949","","","","","","","",""
"4","950","","","","","","","",""
"4","951","","","","","","","",""
"4","952","","","","","","","",""
"119","953","","","","","","","",""
"25","42","","","","","","","",""
"25","534","","","","","","","",""
"25","864","","","","","","","",""
"112","954","","","","","","","",""
"119","956","","","","","","","",""
"103","957","","","","","","","",""
"20","716","","","","","","","",""
"25","958","","","","","","","",""
"4","730","","","","","","","",""
"119","959","","","","","","","",""
"4","960","","","","","","","",""
"119","961","","","","","","","",""
"119","962","","","","","","","",""
"25","963","","","","","","","",""
"20","731","","","","","","","",""
"4","965","","","","","","","",""
"28","966","","","","","","","",""
"119","967","","","","","","","",""
"4","968","","","","","","","",""
"4","830","","","","","","","",""
"119","889","","","","","","","",""
"103","969","","","","","","","",""
"119","970","","","","","","","",""
"103","972","","","","","","","",""
"4","973","","","","","","","",""
"103","974","","","","","","","",""
"20","751","","","","","","","",""
"4","975","","","","","","","",""
"20","976","","","","","","","",""
"20","977","","","","","","","",""
"20","978","","","","","","","",""
"103","980","","","","","","","",""
"20","774","","","","","","","",""
"111","981","","","","","","","",""
"25","982","","","","","","","",""
"103","984","","","","","","","",""
"102","983","","","","","","","",""
"25","985","","","","","","","",""
"4","987","","","","","","","",""
"111","988","","","","","","","",""
"4","989","","","","","","","",""
"20","990","","","","","","","",""
"119","991","","","","","","","",""
"4","992","","","","","","","",""
"103","993","","","","","","","",""
"103","994","","","","","","","",""
"5","177","","","","","","","",""
"121","488","","","","","","","",""
"121","996","","","","","","","",""
"121","997","","","","","","","",""
"121","232","","","","","","","",""
"103","998","","","","","","","",""
"103","999","","","","","","","",""
"4","1002","","","","","","","",""
"111","1004","","","","","","","",""
"121","1005","","","","","","","",""
"121","1009","","","","","","","",""
"112","1010","","","","","","","",""
"4","1011","","","","","","","",""
"121","1012","","","","","","","",""
"121","1013","","","","","","","",""
"122","778","","","","","","","",""
"122","664","","","","","","","",""
"122","1007","","","","","","","",""
"122","1008","","","","","","","",""
"122","1015","","","","","","","",""
"122","888","","","","","","","",""
"112","1016","","","","","","","",""
"4","1017","","","","","","","",""
"121","1018","","","","","","","",""
"122","1019","","","","","","","",""
"122","1020","","","","","","","",""
"20","1021","","","","","","","",""
"121","1024","","","","","","","",""
"121","1025","","","","","","","",""
"121","1026","","","","","","","",""
"4","1027","","","","","","","",""
"103","1028","","","","","","","",""
"4","1029","","","","","","","",""
"4","1030","","","","","","","",""
"4","1031","","","","","","","",""
"103","1032","","","","","","","",""
"121","1033","","","","","","","",""
"121","64","","","","","","","",""
"4","1034","","","","","","","",""
"20","1035","","","","","","","",""
"122","1038","","","","","","","",""
"4","320","","","","","","","",""
"121","1039","","","","","","","",""
"4","47","","","","","","","",""
"122","1042","","","","","","","",""
"121","1043","","","","","","","",""
"121","1045","","","","","","","",""
"103","1046","","","","","","","",""
"5","1047","","","","","","","",""
"4","1049","","","","","","","",""
"20","1050","","","","","","","",""
"4","565","","","","","","","",""
"121","1051","","","","","","","",""
"103","1052","","","","","","","",""
"4","1053","","","","","","","",""
"4","788","","","","","","","",""
"4","1054","","","","","","","",""
"122","1055","","","","","","","",""
"112","1056","","","","","","","",""
"4","1057","","","","","","","",""
"121","1058","","","","","","","",""
"121","1059","","","","","","","",""
"20","1061","","","","","","","",""
"112","1062","","","","","","","",""
"4","1063","","","","","","","",""
"4","370","","","","","","","",""
"102","1064","","","","","","","",""
"4","599","","","","","","","",""
"25","1066","","","","","","","",""
"4","1067","","","","","","","",""
"20","717","","","","","","","",""
"20","1068","","","","","","","",""
"102","1069","","","","","","","",""
"102","1070","","","","","","","",""
"103","1071","","","","","","","",""
"4","1072","","","","","","","",""
"112","1073","","","","","","","",""
"112","1074","","","","","","","",""
"103","1075","","","","","","","",""
"121","1076","","","","","","","",""
"111","1077","","","","","","","",""
"111","1078","","","","","","","",""
"5","1079","","","","","","","",""
"4","1081","","","","","","","",""
"4","1083","","","","","","","",""
"20","1085","","","","","","","",""
"25","1022","","","","","","","",""
"103","1086","","","","","","","",""
